"Country or Area","Year","Area","Sex","Age","Cause of death (WHO)","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Argentina","2017","Total","Male","Total","Assault, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1424",""
"Argentina","2017","Total","Male","Total","All other external causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3635",""
"Argentina","2017","Total","Male","Total","All causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","174222",""
"Argentina","2017","Total","Male","0","Certain infectious and parasitic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","115",""
"Argentina","2017","Total","Male","0","Intestinal infectious diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","31",""
"Argentina","2017","Total","Male","0","Tuberculosis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","0","Tetanus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Diphtheria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Whooping cough, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Meningococcal infection, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","0","Septicaemia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","46",""
"Argentina","2017","Total","Male","0","Acute poliomyelitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Measles, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Viral hepatitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Human immunodeficiency virus [HIV] disease, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Argentina","2017","Total","Male","0","Malaria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","14",""
"Argentina","2017","Total","Male","0","Malignant neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","9",""
"Argentina","2017","Total","Male","0","Malignant neoplasm of lip, oral cavity and pharynx, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Malignant neoplasm of oesophagus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Malignant neoplasm of stomach, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Malignant neoplasm of liver and intrahepatic bile ducts, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Malignant neoplasm of pancreas, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Malignant neoplasm of trachea, bronchus and lung, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Malignant neoplasm of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","5",""
"Argentina","2017","Total","Male","0","Disorders of the blood and blood-forming organs and certain disorders involving the immune mec ICD10","Data tabulated by year of registration","Final figure, complete","2020","9",""
"Argentina","2017","Total","Male","0","Anaemias, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","0","Endocrine, nutritional and metabolic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","27",""
"Argentina","2017","Total","Male","0","Diabetes mellitus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Malnutrition, ICD10","Data tabulated by year of registration","Final figure, complete","2020","7",""
"Argentina","2017","Total","Male","0","Mental and behavioural disorders, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Diseases of the nervous system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","61",""
"Argentina","2017","Total","Male","0","Diseases of the circulatory system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","26",""
"Argentina","2017","Total","Male","0","Acute rheumatic fever and chronic rheumatic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Hypertensive diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Ischaemic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Cerebrovascular diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","5",""
"Argentina","2017","Total","Male","0","Diseases of arteries, arterioles and capillaries, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Diseases of the respiratory  system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","213",""
"Argentina","2017","Total","Male","0","Influenza, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","0","Pneumonia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","59",""
"Argentina","2017","Total","Male","0","Chronic lower respiratory diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3",""
"Argentina","2017","Total","Male","0","Diseases of the digestive system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","12",""
"Argentina","2017","Total","Male","0","Gastric and duodenal ulcer, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Diseases of the liver, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3",""
"Argentina","2017","Total","Male","0","Diseases of the musculoskeletal system and connective tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Diseases of the genitourinary system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","8",""
"Argentina","2017","Total","Male","0","Disorders of kidney and ureter, ICD10","Data tabulated by year of registration","Final figure, complete","2020","7",""
"Argentina","2017","Total","Male","0","Hyperplasia of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Certain conditions originating in the perinatal period, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1923",""
"Argentina","2017","Total","Male","0","Congenital malformations, deformations and chromosomal abnormalities , ICD10","Data tabulated by year of registration","Final figure, complete","2020","960",""
"Argentina","2017","Total","Male","0","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified, ICD10","Data tabulated by year of registration","Final figure, complete","2020","181",""
"Argentina","2017","Total","Male","0","All other diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","0","External causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","79",""
"Argentina","2017","Total","Male","0","Accidents, ICD10","Data tabulated by year of registration","Final figure, complete","2020","59",""
"Argentina","2017","Total","Male","0","Transport accidents, ICD10","Data tabulated by year of registration","Final figure, complete","2020","10",""
"Argentina","2017","Total","Male","0","Falls, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Accidental drowning and submersion, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3",""
"Argentina","2017","Total","Male","0","Exposure to smoke, fire and flames, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3",""
"Argentina","2017","Total","Male","0","Accidental poisoning by and exposure to noxious substances, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Argentina","2017","Total","Male","0","Intentional self-harm, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","0","Assault, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4",""
"Argentina","2017","Total","Male","0","All other external causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","16",""
"Argentina","2017","Total","Male","0","All causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3629",""
"Argentina","2017","Total","Male","1","Certain infectious and parasitic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","16",""
"Argentina","2017","Total","Male","1","Intestinal infectious diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","6",""
"Argentina","2017","Total","Male","1","Tuberculosis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Argentina","2017","Total","Male","1","Tetanus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Diphtheria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Whooping cough, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Meningococcal infection, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","1","Septicaemia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","5",""
"Argentina","2017","Total","Male","1","Acute poliomyelitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Measles, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Viral hepatitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Human immunodeficiency virus [HIV] disease, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","1","Malaria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","17",""
"Argentina","2017","Total","Male","1","Malignant neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","16",""
"Argentina","2017","Total","Male","1","Malignant neoplasm of lip, oral cavity and pharynx, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Malignant neoplasm of oesophagus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Malignant neoplasm of stomach, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Malignant neoplasm of liver and intrahepatic bile ducts, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Malignant neoplasm of pancreas, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Malignant neoplasm of trachea, bronchus and lung, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Malignant neoplasm of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","8",""
"Argentina","2017","Total","Male","1","Disorders of the blood and blood-forming organs and certain disorders involving the immune mec ICD10","Data tabulated by year of registration","Final figure, complete","2020","6",""
"Argentina","2017","Total","Male","1","Anaemias, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","1","Endocrine, nutritional and metabolic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","11",""
"Argentina","2017","Total","Male","1","Diabetes mellitus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Malnutrition, ICD10","Data tabulated by year of registration","Final figure, complete","2020","5",""
"Argentina","2017","Total","Male","1","Mental and behavioural disorders, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Diseases of the nervous system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","22",""
"Argentina","2017","Total","Male","1","Diseases of the circulatory system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","10",""
"Argentina","2017","Total","Male","1","Acute rheumatic fever and chronic rheumatic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Hypertensive diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Ischaemic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Cerebrovascular diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","1","Diseases of arteries, arterioles and capillaries, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Diseases of the respiratory  system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","42",""
"Argentina","2017","Total","Male","1","Influenza, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Pneumonia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","15",""
"Argentina","2017","Total","Male","1","Chronic lower respiratory diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Argentina","2017","Total","Male","1","Diseases of the digestive system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","8",""
"Argentina","2017","Total","Male","1","Gastric and duodenal ulcer, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Diseases of the liver, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3",""
"Argentina","2017","Total","Male","1","Diseases of the musculoskeletal system and connective tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Diseases of the genitourinary system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","1","Disorders of kidney and ureter, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","1","Hyperplasia of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Certain conditions originating in the perinatal period, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3",""
"Argentina","2017","Total","Male","1","Congenital malformations, deformations and chromosomal abnormalities , ICD10","Data tabulated by year of registration","Final figure, complete","2020","28",""
"Argentina","2017","Total","Male","1","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified, ICD10","Data tabulated by year of registration","Final figure, complete","2020","11",""
"Argentina","2017","Total","Male","1","All other diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","1","External causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","67",""
"Argentina","2017","Total","Male","1","Accidents, ICD10","Data tabulated by year of registration","Final figure, complete","2020","52",""
"Argentina","2017","Total","Male","1","Transport accidents, ICD10","Data tabulated by year of registration","Final figure, complete","2020","9",""
"Argentina","2017","Total","Male","1","Falls, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","1","Accidental drowning and submersion, ICD10","Data tabulated by year of registration","Final figure, complete","2020","24",""
"Argentina","2017","Total","Male","1","Exposure to smoke, fire and flames, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3",""
"Argentina","2017","Total","Male","1","Accidental poisoning by and exposure to noxious substances, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3",""
"Argentina","2017","Total","Male","1","Intentional self-harm, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","1","Assault, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Argentina","2017","Total","Male","1","All other external causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","13",""
"Argentina","2017","Total","Male","1","All causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","243",""
"Argentina","2017","Total","Male","2","Certain infectious and parasitic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","5",""
"Argentina","2017","Total","Male","2","Intestinal infectious diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","2","Tuberculosis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Tetanus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Diphtheria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Whooping cough, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Meningococcal infection, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Argentina","2017","Total","Male","2","Septicaemia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","2","Acute poliomyelitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Measles, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Viral hepatitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Human immunodeficiency virus [HIV] disease, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Malaria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","18",""
"Argentina","2017","Total","Male","2","Malignant neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","17",""
"Argentina","2017","Total","Male","2","Malignant neoplasm of lip, oral cavity and pharynx, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Malignant neoplasm of oesophagus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Malignant neoplasm of stomach, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Malignant neoplasm of liver and intrahepatic bile ducts, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Malignant neoplasm of pancreas, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Malignant neoplasm of trachea, bronchus and lung, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","2","Malignant neoplasm of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","9",""
"Argentina","2017","Total","Male","2","Disorders of the blood and blood-forming organs and certain disorders involving the immune mec ICD10","Data tabulated by year of registration","Final figure, complete","2020","3",""
"Argentina","2017","Total","Male","2","Anaemias, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Endocrine, nutritional and metabolic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3",""
"Argentina","2017","Total","Male","2","Diabetes mellitus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Malnutrition, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Argentina","2017","Total","Male","2","Mental and behavioural disorders, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Argentina","2017","Total","Male","2","Diseases of the nervous system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","16",""
"Argentina","2017","Total","Male","2","Diseases of the circulatory system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4",""
"Argentina","2017","Total","Male","2","Acute rheumatic fever and chronic rheumatic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
